"","markov_cycle",".strategy_names","value_names","value","id"
"4.81",15,"I","utility",497.2215673399,"4.81"
"4.82",16,"I","utility",479.219651675081,"4.82"
"4.83",17,"I","utility",461.75889605739,"4.83"
"4.84",18,"I","utility",444.848059757754,"4.84"
"4.85",19,"I","utility",428.458601103209,"4.85"
"4.86",20,"I","utility",412.548641048046,"4.86"
"4.87",21,"I","utility",373.738307237411,"4.87"
"4.88",22,"I","utility",359.607272779749,"4.88"
"4.89",23,"I","utility",345.881866591285,"4.89"
"4.90",24,"I","utility",332.511640799134,"4.90"
"4.91",25,"I","utility",319.523381228926,"4.91"
"4.92",26,"I","utility",306.863478925581,"4.92"
"4.93",27,"I","utility",294.508100441025,"4.93"
"4.94",28,"I","utility",282.489638918573,"4.94"
"4.95",29,"I","utility",270.775708162377,"4.95"
"4.96",30,"I","utility",259.353348506087,"4.96"
"4.97",31,"I","utility",242.020209253553,"4.97"
"4.98",32,"I","utility",231.444227767875,"4.98"
"4.99",33,"I","utility",221.194853881485,"4.99"
"4.100",34,"I","utility",211.148363964278,"4.100"
"4.101",35,"I","utility",201.293898556179,"4.101"
"4.102",36,"I","utility",191.60910333269,"4.102"
"4.103",37,"I","utility",182.108066857875,"4.103"
"4.104",38,"I","utility",172.780120847549,"4.104"
"4.105",39,"I","utility",163.515377127884,"4.105"
"4.106",40,"I","utility",154.400152473545,"4.106"
"4.107",41,"I","utility",136.072373082879,"4.107"
"4.108",42,"I","utility",127.814824829948,"4.108"
"4.109",43,"I","utility",119.689037882933,"4.109"
"4.110",44,"I","utility",111.710166082881,"4.110"
"4.111",45,"I","utility",103.84068837714,"4.111"
"4.112",46,"I","utility",96.0657436162492,"4.112"
"4.113",47,"I","utility",88.3101176948211,"4.113"
"4.114",48,"I","utility",80.7052530978101,"4.114"
"4.115",49,"I","utility",73.169745923576,"4.115"
"4.116",50,"I","utility",65.8057025080051,"4.116"
"4.117",51,"I","utility",58.617182612846,"4.117"
"4.118",52,"I","utility",51.6381430439139,"4.118"
"4.119",53,"I","utility",44.9869035120859,"4.119"
"4.120",54,"I","utility",38.6646948482073,"4.120"
"4.121",55,"I","utility",32.7458659898877,"4.121"
"4.122",56,"I","utility",27.2815830534944,"4.122"
"4.123",57,"I","utility",22.3166749961907,"4.123"
"4.124",58,"I","utility",17.9377792041259,"4.124"
"4.125",59,"I","utility",14.0748628239017,"4.125"
"4.126",60,"I","utility",10.7511227114184,"4.126"
"4.127",61,"I","utility",8.04523563704935,"4.127"
"4.128",62,"I","utility",5.86663144590066,"4.128"
